"Timestamp","Accuracy","Acceleration X","Acceleration Y","Acceleration Z","Label","Cycle"
"2086381767929591","3","0.286","0.151","9.915","none","0"
"2086381788067773","3","0.284","0.16","9.886","none","1"
"2086381808204677","3","0.291","0.155","9.908","none","1"
"2086381828341537","3","0.286","0.155","9.905","none","1"
"2086381848480084","3","0.272","0.146","9.91","none","1"
"2086381868618546","3","0.27","0.143","9.915","none","1"
"2086381888758160","3","0.289","0.16","9.898","none","1"
"2086381908895409","3","0.284","0.167","9.903","none","1"
"2086381928916567","3","0.286","0.151","9.903","none","1"
"2086381948937826","3","0.289","0.131","9.884","none","1"
"2086381968959085","3","0.284","0.151","9.901","none","1"
"2086381988980344","3","0.298","0.148","9.929","none","1"
"2086382023964426","3","0.303","0.155","9.886","none","1"
"2086382043960412","3","0.291","0.134","9.901","none","1"
"2086382063956661","3","0.298","0.143","9.896","none","1"
"2086382083952459","3","0.301","0.16","9.882","none","1"
"2086382103948378","3","0.301","0.141","9.898","none","1"
"2086382123944455","3","0.298","0.134","9.896","none","1"
"2086382143940417","3","0.293","0.16","9.901","none","1"
"2086382163936379","3","0.289","0.141","9.896","none","1"
"2086382183932609","3","0.293","0.143","9.898","none","1"
"2086382203928368","3","0.284","0.155","9.891","none","1"
"2086382223924281","3","0.298","0.151","9.903","none","1"
"2086382243920348","3","0.291","0.143","9.896","none","1"
"2086382263916339","3","0.277","0.146","9.874","none","1"
"2086382283912324","3","0.284","0.143","9.896","none","1"
"2086382303908512","3","0.296","0.141","9.901","none","1"
"2086382323904286","3","0.289","0.143","9.901","none","1"
"2086382343900502","3","0.286","0.146","9.879","none","1"
"2086382363896271","3","0.286","0.153","9.91","none","1"
"2086382383892281","3","0.293","0.146","9.901","none","1"
"2086382403888281","3","0.284","0.16","9.877","none","1"
"2086382423884498","3","0.286","0.139","9.905","none","1"
"2086382443880498","3","0.303","0.155","9.894","none","1"
"2086382463876276","3","0.293","0.16","9.896","none","1"
"2086382483872517","3","0.284","0.151","9.891","none","1"
"2086382503868291","3","0.289","0.143","9.891","none","1"
"2086382523864527","3","0.293","0.146","9.901","none","1"
"2086382543860619","3","0.286","0.134","9.903","none","1"
"2086382563856561","3","0.293","0.148","9.903","none","1"
"2086382583852574","3","0.284","0.139","9.898","none","1"
"2086382603848574","3","0.284","0.146","9.91","none","1"
"2086382623844590","3","0.281","0.148","9.913","none","1"
"2086382643840575","3","0.289","0.155","9.903","none","1"
"2086382663836666","3","0.296","0.153","9.913","none","1"
"2086382683832589","3","0.286","0.143","9.905","none","1"
"2086382703828666","3","0.291","0.167","9.92","none","1"
"2086382723824638","3","0.293","0.17","9.896","none","1"
"2086382743820638","3","0.293","0.163","9.889","none","1"
"2086382763816537","3","0.298","0.163","9.896","none","1"
"2086382783812628","3","0.296","0.153","9.889","none","1"
"2086382803808859","3","0.291","0.153","9.882","none","1"
"2086382823804624","3","0.286","0.143","9.879","none","1"
"2086382843800874","3","0.289","0.139","9.894","none","1"
"2086382863796643","3","0.291","0.151","9.903","none","1"
"2086382883792864","3","0.281","0.146","9.903","none","1"
"2086382903788845","3","0.286","0.153","9.903","none","1"
"2086382923784859","3","0.274","0.146","9.913","none","1"
"2086382943780859","3","0.293","0.143","9.915","none","1"
"2086382963776946","3","0.291","0.143","9.896","none","1"
"2086382983772941","3","0.289","0.136","9.901","none","1"
"2086383003768941","3","0.281","0.148","9.905","none","1"
"2086383023764941","3","0.279","0.165","9.908","none","1"
"2086383043760946","3","0.286","0.16","9.917","none","1"
"2086383063756941","3","0.286","0.153","9.91","none","1"
"2086383083752965","3","0.286","0.155","9.925","none","1"
"2086383103749196","3","0.291","0.148","9.913","none","1"
"2086383123745205","3","0.284","0.143","9.905","none","1"
"2086383143741220","3","0.279","0.151","9.903","none","1"
"2086383163737190","3","0.277","0.151","9.889","none","1"
"2086383183733175","3","0.279","0.151","9.898","none","1"
"2086383203729243","3","0.305","0.155","9.908","none","1"
"2086383223725252","3","0.298","0.167","9.925","none","1"
"2086383243721161","3","0.284","0.158","9.917","none","1"
"2086383263717194","3","0.279","0.136","9.91","none","1"
