"Timestamp","Accuracy","Acceleration X","Acceleration Y","Acceleration Z","Label","Cycle"
"2087590668325936","3","1.624","2.976","8.868","roll side","0"
"2087590688322459","3","1.713","2.899","8.617","none","1"
"2087590708319084","3","1.112","2.703","8.658","none","1"
"2087590728315748","3","1.107","2.64","9.405","none","1"
"2087590748312373","3","1.409","2.827","9.642","none","1"
"2087590768309233","3","1.603","3.009","9.324","none","1"
"2087590788305849","3","1.638","3.107","9.379","none","1"
"2087590808302233","3","1.648","3.045","9.604","none","1"
"2087590828299104","3","1.603","2.765","9.654","none","1"
"2087590848295469","3","1.365","2.624","9.786","none","1"
"2087590868292075","3","1.306","2.607","9.805","none","1"
"2087590888288916","3","1.341","2.808","9.644","none","1"
"2087590908285287","3","1.114","2.873","9.551","none","1"
"2087590928282128","3","0.789","2.734","9.388","none","1"
"2087590948278743","3","0.681","2.643","9.261","none","1"
"2087590968275392","3","0.535","2.612","9.211","none","1"
"2087590988271743","3","0.296","2.882","9.079","none","1"
"2087591008268594","3","0.6","2.219","9.027","none","1"
"2087591028265209","3","0.013","2.051","9.407","none","1"
"2087591048261829","3","-0.736","2.075","10.032","none","1"
"2087591068258430","3","-0.938","2.846","11.002","none","1"
"2087591088255045","3","-3.948","4.741","9.654","none","1"
"2087591108251671","3","-3.709","4.856","7.431","none","1"
"2087591128248271","3","-0.696","5.014","7.417","none","1"
"2087591148244887","3","0.061","5.833","7.954","none","1"
"2087591168241579","3","-0.071","5.869","7.81","none","1"
"2087591188238209","3","-1.299","5.275","6.751","none","1"
"2087591208234767","3","-2.341","4.743","6.205","none","1"
"2087591228231425","3","-2.918","4.204","6.452","none","1"
"2087591248228028","3","-2.552","4.197","7.022","none","1"
"2087591268224633","3","-0.418","4.705","8.09","none","1"
"2087591288221234","3","0.921","4.334","9.307","none","1"
"2087591308217878","3","-0.403","2.815","10.978","none","1"
"2087591328214724","3","-0.899","1.032","11.874","none","1"
"2087591348211090","3","-0.303","-0.4","11.891","none","1"
"2087591368207710","3","1.552","-1.021","11.582","none","1"
"2087591388204556","3","1.959","-1.136","10.509","none","1"
"2087591408200941","3","0.358","-1.327","9.949","none","1"
"2087591428197542","3","0.056","-1.509","9.913","none","1"
"2087591448194403","3","0.622","-1.013","11.05","none","1"
"2087591468191003","3","1.83","-0.489","11.941","none","1"
"2087591488187638","3","2.163","-0.257","13.019","none","1"
"2087591508184253","3","2.537","-0.185","11.522","none","1"
"2087591528180863","3","0.358","-0.012","9.75","none","1"
"2087591548177584","3","-1.043","0.093","10.188","none","1"
"2087591568174127","3","0.265","0.203","9.968","none","1"
"2087591588170767","3","1.818","-0.518","8.182","none","1"
"2087591608167459","3","4.807","-1.131","6.651","none","1"
"2087591628164065","3","4.084","-0.142","11.663","none","1"
"2087591648160603","3","3.523","0.093","13.879","none","1"
"2087591668157295","3","1.504","-1.677","13.982","none","1"
"2087591688153887","3","-0.806","-3.708","15.105","none","1"
"2087591708150502","3","-0.53","-3.476","14.351","none","1"
"2087591728147118","3","0.272","0.378","12.181","none","1"
"2087591748143733","3","-1.244","1.611","10.775","none","1"
"2087591768140340","3","-3.821","0.752","11.105","none","1"
"2087591788136955","3","-1.639","1.515","8.77","none","1"
"2087591808133570","3","0.049","1.711","5.844","none","1"
"2087591828130195","3","1.217","0.912","6.718","none","1"
"2087591848127027","3","2.367","-0.537","9.779","none","1"
