"Timestamp","Accuracy","Acceleration X","Acceleration Y","Acceleration Z","Label","Cycle"
"2087176355876268","3","0.461","5.763","8.816","stand up","0"
"2087176376014964","3","0.492","5.646","8.149","none","1"
"2087176396153829","3","-0.552","5.737","7.985","none","1"
"2087176416290996","3","-1.223","6.551","7.937","none","1"
"2087176436428534","3","-0.983","7.047","7.944","none","1"
"2087176456566764","3","0.152","6.743","6.521","none","1"
"2087176476703711","3","0.169","6.319","5.391","none","1"
"2087176496841225","3","-0.159","6.094","6.224","none","1"
"2087176516980239","3","0.26","5.886","7.005","none","1"
"2087176537118089","3","0.729","5.455","6.833","none","1"
"2087176557256935","3","1.667","5.263","8.488","none","1"
"2087176577397252","3","1.045","5.409","9.997","none","1"
"2087176597536329","3","-0.368","5.864","10.054","none","1"
"2087176617674809","3","-1.254","6.578","9.64","none","1"
"2087176637814224","3","-1.881","7.081","8.394","none","1"
"2087176657953561","3","-2.051","7.217","7.192","none","1"
"2087176678093882","3","-1.29","6.841","7.115","none","1"
"2087176698234252","3","-0.839","6.384","7.525","none","1"
"2087176718373556","3","-1.357","6.413","8.119","none","1"
"2087176738512637","3","-1.924","6.611","8.04","none","1"
"2087176758651416","3","-2.746","6.844","7.518","none","1"
"2087176778791512","3","-2.798","7.126","7.053","none","1"
"2087176798930868","3","-2.197","7.145","6.785","none","1"
"2087176819071406","3","-2.068","7.251","7.106","none","1"
"2087176839210531","3","-2.375","7.368","7.146","none","1"
"2087176859349224","3","-2.573","7.471","6.033","none","1"
"2087176879488907","3","-2.355","7.368","5.468","none","1"
"2087176899627743","3","-2.097","7.833","6.531","none","1"
"2087176919766728","3","-1.601","8.069","5.664","none","1"
"2087176939906430","3","-2.533","7.668","4.22","none","1"
"2087176960045185","3","-2.779","7.586","5.487","none","1"
"2087176980184026","3","-2.054","8.47","8.066","none","1"
"2087177000323305","3","0.497","8.609","6.016","none","1"
"2087177020461853","3","1.916","8.003","2.711","none","1"
"2087177040599103","3","0.023","8.877","0.97","none","1"
"2087177060738098","3","-0.756","8.968","2.524","none","1"
"2087177080876242","3","4.517","9.488","7.008","none","1"
"2087177101015997","3","10.079","11.277","9.58","none","1"
"2087177121153175","3","8.115","10.228","12.451","none","1"
"2087177141291131","3","3.696","8.762","16.063","none","1"
"2087177161428694","3","4.536","9.057","14.03","none","1"
"2087177181568002","3","3.016","8.546","10.27","none","1"
"2087177201706853","3","-0.478","7.656","7.405","none","1"
"2087177221844911","3","-2.114","8.06","5.803","none","1"
"2087177241984065","3","-2.918","7.275","6.32","none","1"
"2087177262122506","3","-1.759","4.621","5.573","none","1"
"2087177282261506","3","-0.964","3.68","3.341","none","1"
"2087177302401261","3","0.085","4.758","2.177","none","1"
"2087177322540959","3","-0.72","5.172","4.416","none","1"
"2087177342678386","3","-2.473","2.746","6.869","none","1"
"2087177362815675","3","-4.504","-0.855","4.704","none","1"
"2087177382954997","3","-8.173","-0.817","0.809","none","1"
"2087177403092833","3","-11.919","2.3","2.105","none","1"
"2087177423231079","3","-8.92","1.041","5.211","none","1"
"2087177443368291","3","-1.455","-1.09","5.966","none","1"
"2087177463504886","3","-1.167","-2.367","7.853","none","1"
"2087177483642117","3","-9.308","-3.104","11.663","none","1"
"2087177503780267","3","-15.015","-2.812","12.954","none","1"
"2087177523917742","3","-12.805","-0.578","12.253","none","1"
"2087177544055920","3","-6.911","0.345","11.23","none","1"
"2087177564192839","3","-5.519","0.972","11.589","none","1"
"2087177584329743","3","-7.157","1.596","12.729","none","1"
"2087177604468492","3","-4.2","2.492","13.944","none","1"
"2087177624607266","3","-0.039","2.193","15.119","none","1"
"2087177644745185","3","-0.571","1.117","14.315","none","1"
"2087177664883979","3","-1.773","1.311","12.274","none","1"
"2087177685023036","3","0.868","2.154","12.427","none","1"
"2087177705161170","3","4.613","2.834","13.661","none","1"
"2087177725299877","3","5.806","1.433","13.127","none","1"
"2087177745437103","3","2.814","-1.445","10.447","none","1"
"2087177765574046","3","-1.939","-1.318","8.411","none","1"
"2087177785711665","3","-3.153","-0.419","7.027","none","1"
"2087177805850031","3","1.277","-0.673","17.119","none","1"
"2087177825988800","3","4.206","0.687","25.329","none","1"
"2087177846126713","3","1.363","3.287","2.165","none","1"
"2087177866263930","3","0.842","-0.681","13.987","none","1"
"2087177886400156","3","0.076","-2.276","11.683","none","1"
"2087177906537809","3","0.999","-2.405","2.785","none","1"
"2087177926674681","3","0.252","-2.592","12.581","none","1"
"2087177946810993","3","0.248","0.419","13.244","none","1"
"2087177966949763","3","-0.559","1.134","6.893","none","1"
"2087177987088296","3","0.878","0.21","10.416","none","1"
