"Timestamp","Accuracy","Acceleration X","Acceleration Y","Acceleration Z","Label","Cycle"
"2614544234426794","3","-0.071","-0.194","9.438","sit down","0"
"2614544254583933","3","0.732","0.079","10.361","none","0"
"2614544274740317","3","0.358","-0.094","9.903","none","0"
"2614544294896921","3","0.341","-0.039","9.731","none","0"
"2614544315054079","3","0.447","0.014","10.145","none","0"
"2614544335210795","3","0.238","-0.024","9.707","none","0"
"2614544355367129","3","0.37","-0.031","9.987","none","0"
"2614544375525884","3","0.351","-0.005","9.934","none","0"
"2614544395682518","3","0.337","-0.055","9.913","none","0"
"2614544415839143","3","0.327","-0.008","9.934","none","0"
"2614544435996080","3","0.298","-0.024","9.915","none","0"
"2614544456154791","3","0.327","-0.012","9.944","none","0"
"2614544476312714","3","0.289","0.012","9.915","none","0"
"2614544496469574","3","0.19","0.028","9.85","none","0"
"2614544516625636","3","0.272","0.028","9.846","none","0"
"2614544536782454","3","0.334","-0.003","9.932","none","0"
"2614544556939700","3","0.286","-0.012","9.953","none","0"
"2614544577094499","3","0.231","0.033","9.932","none","0"
"2614544597248671","3","0.21","0.038","9.925","none","0"
"2614544617403825","3","0.176","0.048","9.843","none","0"
"2614544637558287","3","0.143","0.055","9.848","none","0"
"2614544657714815","3","0.123","0.06","9.898","none","0"
"2614544677870897","3","0.114","0.074","9.879","none","0"
"2614544698025686","3","0.114","0.067","9.86","none","0"
"2614544718181065","3","0.099","0.067","9.853","none","0"
"2614544738338306","3","0.066","0.06","9.872","none","0"
"2614544758495464","3","0.068","0.069","9.915","none","0"
"2614544778652071","3","0.152","0.098","9.812","none","0"
"2614544798809917","3","0.248","0.11","9.695","none","0"
"2614544818967527","3","0.152","0.069","9.879","none","0"
"2614544839123787","3","0.14","0.093","10.006","none","0"
"2614544859281325","3","0.114","0.112","9.783","none","0"
"2614544879437013","3","0.164","0.086","9.814","none","0"
"2614544899592666","3","0.179","0.074","9.961","none","0"
"2614544919747493","3","0.162","0.098","9.922","none","0"
"2614544939904046","3","0.131","0.083","9.891","none","0"
"2614544960060647","3","0.121","0.086","9.85","none","0"
"2614544980217022","3","0.138","0.093","9.872","none","0"
"2614545000373859","3","0.157","0.069","9.894","none","0"
"2614545020531162","3","0.128","0.079","9.865","none","0"
"2614545040688320","3","0.14","0.095","9.874","none","0"
"2614545060844624","3","0.155","0.088","9.901","none","0"
"2614545081003142","3","0.145","0.074","9.894","none","0"
"2614545101160998","3","0.111","0.091","9.879","none","0"
"2614545121317551","3","0.14","0.11","9.901","none","0"
"2614545141474229","3","0.157","0.074","9.932","none","0"
"2614545161631983","3","0.126","0.076","9.896","none","0"
"2614545181788907","3","0.119","0.069","9.884","none","0"
"2614545201944676","3","0.14","0.083","9.879","none","0"
"2614545222099373","3","0.143","0.088","9.92","none","0"
"2614545242253840","3","0.143","0.076","9.913","none","0"
"2614545262411133","3","0.138","0.076","9.886","none","0"
"2614545282567431","3","0.138","0.083","9.889","none","0"
"2614545302723729","3","0.121","0.1","9.908","none","0"
"2614545322881811","3","0.126","0.093","9.898","none","0"
"2614545343039128","3","0.135","0.091","9.889","none","0"
"2614545363197205","3","0.126","0.098","9.886","none","0"
"2614545383353816","3","0.128","0.103","9.898","none","0"
"2614545403512893","3","0.126","0.093","9.884","none","0"
"2614545423670835","3","0.126","0.1","9.896","none","0"
"2614545443828902","3","0.133","0.088","9.898","none","0"
"2614545463984581","3","0.138","0.074","9.874","none","0"
"2614545484140888","3","0.128","0.095","9.877","none","0"
"2614545504295109","3","0.123","0.088","9.898","none","0"
"2614545524450494","3","0.143","0.098","9.903","none","0"
"2614545544607345","3","0.138","0.081","9.898","none","0"
"2614545564762499","3","0.133","0.081","9.886","none","0"
"2614545584917176","3","0.131","0.091","9.905","none","0"
"2614545605073191","3","0.126","0.098","9.901","none","0"
"2614545625229186","3","0.147","0.088","9.891","none","0"
"2614545645384571","3","0.131","0.093","9.886","none","0"
"2614545665539725","3","0.123","0.095","9.898","none","0"
"2614545685696018","3","0.121","0.098","9.889","none","0"
"2614545705856253","3","0.131","0.079","9.886","none","0"
"2614545726013575","3","0.128","0.086","9.901","none","0"
"2614545746169849","3","0.133","0.083","9.889","none","0"
"2614545766328326","3","0.126","0.086","9.894","none","0"
"2614545786485801","3","0.126","0.076","9.889","none","0"
"2614545806643046","3","0.123","0.098","9.913","none","0"
"2614545826799364","3","0.131","0.081","9.91","none","0"
"2614545846955421","3","0.147","0.081","9.905","none","0"
"2614545867111435","3","0.147","0.086","9.894","none","0"
"2614545887267421","3","0.128","0.091","9.896","none","0"
"2614545907423137","3","0.121","0.107","9.889","none","0"
"2614545927578214","3","0.131","0.088","9.889","none","0"
"2614545947733920","3","0.135","0.086","9.884","none","0"
"2614545967889526","3","0.128","0.091","9.901","none","0"
"2614545988046748","3","0.131","0.098","9.903","none","0"
"2614546008202849","3","0.126","0.091","9.903","none","0"
"2614546028358151","3","0.133","0.095","9.91","none","0"
"2614546048514830","3","0.143","0.083","9.891","none","0"
"2614546068672983","3","0.131","0.081","9.884","none","0"
"2614546088830733","3","0.147","0.095","9.882","none","0"
"2614546108988348","3","0.128","0.074","9.898","none","0"
"2614546129146396","3","0.14","0.079","9.903","none","0"
"2614546149303002","3","0.145","0.083","9.884","none","0"
