"Timestamp","Accuracy","Acceleration X","Acceleration Y","Acceleration Z","Label","Cycle"
"704807525537021","2","1.178","0.598","9.684","sit up","0"
"704807545537021","2","1.178","0.598","9.684","none","0"
"704807571384951","2","1.178","0.598","9.684","none","0"
"704807591725184","2","1.389","0.79","9.608","none","0"
"704807611400647","2","1.351","0.426","9.397","none","0"
"704807631378880","2","1.389","0.483","10.355","none","0"
"704807651378113","2","1.121","0.522","9.953","none","0"
"704807671382653","2","1.274","0.349","9.78","none","0"
"704807692052578","2","1.389","0.694","9.397","none","0"
"704807711403888","2","1.351","0.79","10.623","none","0"
"704807731379274","2","1.522","0.656","10.546","none","0"
"704807751378123","2","1.675","0.752","9.55","none","0"
"704807771378048","2","1.56","0.771","10.106","none","0"
"704807791405357","2","1.37","0.79","10.546","none","0"
"704807811393590","2","1.236","0.713","9.914","none","0"
"704807831401438","2","1.159","0.694","9.895","none","0"
"704807851377825","2","1.14","0.675","10.259","none","0"
"704807871378058","2","1.274","0.617","10.259","none","0"
"704807891382906","2","1.083","0.656","9.953","none","0"
"704807911607754","2","0.527","0.598","9.301","none","0"
"704807931386448","2","1.618","0.598","10.546","none","0"
"704807951379604","2","1.656","0.617","10.278","none","0"
"704807971378837","2","1.332","0.732","9.627","none","0"
"704807991383377","2","1.274","0.579","9.953","none","0"
"704808011388379","2","1.351","0.771","10.087","none","0"
"704808031399151","2","1.408","0.752","10.278","none","0"
"704808051669153","2","1.351","0.617","10.048","none","0"
"704808071379462","2","1.332","0.617","10.068","none","0"
"704808091378234","2","1.274","0.675","9.78","none","0"
"704808111416851","2","1.427","0.598","9.895","none","0"
"704808131399468","2","1.37","0.503","10.087","none","0"
"704808151387316","2","1.332","0.617","9.991","none","0"
"704808171379318","2","1.236","0.675","9.972","none","0"
"704808191378167","2","1.159","0.656","10.125","none","0"
"704808211482630","2","1.293","0.637","9.933","none","0"
"704808231439171","2","1.312","0.56","9.914","none","0"
"704808251779942","2","1.217","0.541","9.953","none","0"
"704808271378328","2","1.408","0.541","10.144","none","0"
"704808291377715","2","1.14","0.694","10.106","none","0"
"704808311379794","2","1.446","0.656","10.125","none","0"
"704808331436027","2","1.427","0.771","10.029","none","0"
"704808351411567","2","1.848","0.579","9.684","none","0"
"704808371440646","2","1.79","0.426","10.163","none","0"
"704808391378340","2","1.484","0.637","9.876","none","0"
"704808411382342","2","1.159","0.847","9.78","none","0"
"704808431401191","2","1.714","0.637","10.029","none","0"
"704808451392039","2","1.599","0.694","10.317","none","0"
"704808471408195","2","1.121","0.656","10.221","none","0"
"704808491378427","2","0.661","0.407","9.991","none","0"
"704808511379122","2","1.025","0.637","9.933","none","0"
"704808531403278","2","1.389","0.943","10.642","none","0"
"704808551392280","2","0.585","0.886","10.987","none","0"
"704808571390205","2","1.178","0.503","9.206","none","0"
"704808591378207","2","1.274","0.445","9.11","none","0"
"704808611378670","2","1.656","0.694","10.968","none","0"
"704808631382980","2","1.58","0.656","10.891","none","0"
"704808652005290","2","1.503","0.119","9.704","none","0"
"704808671397984","2","1.484","0.119","9.359","none","0"
"704808691750217","2","1.848","0.445","10.393","none","0"
"704808711378296","2","0.661","0.292","10.527","none","0"
"704808731376067","2","0.221","0.349","9.57","none","0"
"704808751488838","2","0.125","0.771","9.723","none","0"
"704808771389071","2","0.738","0.426","10.546","none","0"
"704808791383457","2","1.79","0.464","10.853","none","0"
"704808811382921","2","1.446","0.483","9.55","none","0"
"704808831386384","2","1.389","0.234","8.899","none","0"
"704808852768540","2","1.14","-0.09","9.723","none","0"
"704808871421542","2","0.891","0.407","10.546","none","0"
"704808891489929","2","1.312","0.426","9.991","none","0"
"704808911378546","2","1.752","-0.224","9.493","none","0"
"704808931378394","2","1.522","0.656","9.34","none","0"
"704808951383935","2","0.891","0.924","9.991","none","0"
"704808971470091","2","0.719","0.483","10.374","none","0"
"704808991636401","2","0.987","0.522","10.355","none","0"
"704809011378018","2","1.389","0.713","9.608","none","0"
"704809031379789","2","1.56","0.407","9.857","none","0"
"704809051377483","2","1.217","0.407","10.585","none","0"
"704809071391562","2","1.102","0.79","10.317","none","0"
"704809091405487","2","1.522","0.56","10.259","none","0"
"704809111376951","2","1.79","0.407","10.048","none","0"
"704809131378415","2","1.637","0.713","10.163","none","0"
"704809151378493","2","1.37","0.637","10.278","none","0"
"704809171397572","2","1.389","0.483","10.106","none","0"
"704809191410036","2","1.389","0.598","10.202","none","0"
"704809211519884","2","1.293","0.656","10.087","none","0"
