"Timestamp","Accuracy","Acceleration X","Acceleration Y","Acceleration Z","Label","Cycle"
"705268705390859","2","1.083","0.56","10.259","none","0"
"705268725390859","2","1.083","0.56","10.259","none","0"
"705268752160712","2","1.083","0.56","10.259","none","0"
"705268771383945","2","1.14","0.541","9.953","none","0"
"705268791382562","2","1.121","0.522","10.029","none","0"
"705268811380641","2","1.083","0.56","10.144","none","0"
"705268831378643","2","1.063","0.445","10.087","none","0"
"705268851379030","2","1.159","0.426","9.819","none","0"
"705268871812032","2","1.236","0.483","10.01","none","0"
"705268891774726","2","1.255","0.349","10.202","none","0"
"705268911377882","2","1.446","0.254","9.646","none","0"
"705268931378268","2","1.351","0.062","10.374","none","0"
"705268951379732","2","1.37","0.407","9.933","none","0"
"705268971386888","2","1.351","0.292","10.202","none","0"
"705268991404967","2","1.37","0.292","9.991","none","0"
"705269011800123","2","1.332","0.33","10.029","none","0"
"705269031379663","2","1.312","0.311","10.01","none","0"
"705269051378742","2","1.274","0.292","10.221","none","0"
"705269071387975","2","1.255","0.33","10.163","none","0"
"705269091397900","2","1.197","0.273","10.068","none","0"
"705269111385210","2","1.274","0.33","10.029","none","0"
"705269131379058","2","1.351","0.311","10.087","none","0"
"705269151378675","2","1.332","0.292","10.048","none","0"
"705269171374216","2","1.293","0.292","9.933","none","0"
"705269191805371","2","1.217","0.33","9.972","none","0"
"705269211397681","2","1.217","0.349","10.048","none","0"
"705269231377529","2","1.197","0.33","10.048","none","0"
"705269251378531","2","1.255","0.349","9.953","none","0"
"705269271380149","2","1.274","0.349","9.972","none","0"
"705269291391458","2","1.312","0.292","10.01","none","0"
"705269311401306","2","1.312","0.273","10.087","none","0"
"705269331380616","2","1.274","0.292","10.106","none","0"
"705269351379464","2","1.351","0.273","10.029","none","0"
"705269371378005","2","1.332","0.254","10.01","none","0"
"705269391396776","2","1.465","0.215","10.029","none","0"
"705269411385778","2","1.503","0.234","10.182","none","0"
"705269431453934","2","1.541","0.273","10.029","none","0"
"705269451380551","2","1.465","0.273","10.01","none","0"
"705269471378630","2","1.351","0.311","10.048","none","0"
"705269491558248","2","1.351","0.292","10.048","none","0"
"705269511395480","2","1.293","0.311","10.087","none","0"
"705269531409559","2","1.312","0.273","10.106","none","0"
"705269551608330","2","1.332","0.292","9.991","none","0"
"705269571406717","2","1.255","0.292","10.144","none","0"
"705269591386027","2","1.274","0.273","10.144","none","0"
"705269611525260","2","1.236","0.292","9.895","none","0"
"705269632465262","2","1.121","0.234","9.876","none","0"
"705269651378187","2","1.14","0.254","10.087","none","0"
"705269671448727","2","1.178","0.368","9.933","none","0"
"705269691430191","2","1.37","0.349","10.029","none","0"
"705269711413193","2","1.484","0.33","9.953","none","0"
"705269732670887","2","1.58","0.254","10.048","none","0"
"705269751444043","2","1.312","0.33","10.24","none","0"
"705269771388352","2","1.465","0.196","10.24","none","0"
"705269791379354","2","1.484","0.234","10.125","none","0"
"705269811404510","2","1.332","0.349","9.857","none","0"
"705269831390897","2","1.503","0.292","9.838","none","0"
"705269851390514","2","1.274","0.292","10.087","none","0"
"705269871378824","2","1.14","0.368","10.336","none","0"
"705269891392057","2","1.274","0.349","10.068","none","0"
"705269911377905","2","1.446","0.254","9.78","none","0"
"705269931667599","2","1.293","0.254","9.972","none","0"
"705269951870909","2","1.427","0.311","10.202","none","0"
"705269971378065","2","1.465","0.254","10.144","none","0"
"705269991387528","2","1.255","0.33","9.799","none","0"
"705270011378761","2","1.236","0.483","9.953","none","0"
"705270031414609","2","1.236","0.445","10.068","none","0"
"705270051560919","2","1.14","0.426","10.221","none","0"
"705270071383536","2","1.083","0.445","9.914","none","0"
"705270091378384","2","1.083","0.388","9.876","none","0"
"705270111381540","2","1.178","0.483","10.182","none","0"
"705270131404696","2","1.121","0.503","9.933","none","0"
"705270151384852","2","1.293","0.407","9.914","none","0"
"705270171377623","2","1.236","0.33","10.144","none","0"
"705270191378164","2","1.37","0.388","10.068","none","0"
"705270211379320","2","1.351","0.311","9.857","none","0"
"705270231399014","2","1.332","0.33","10.087","none","0"
"705270251387093","2","1.351","0.388","10.01","none","0"
"705270271511403","2","1.351","0.311","9.819","none","0"
"705270291858097","2","1.332","0.311","10.163","none","0"
"705270311378253","2","1.332","0.426","10.278","none","0"
"705270331378485","2","1.408","0.368","10.01","none","0"
"705270351530411","2","1.58","0.349","9.953","none","0"
"705270372327720","2","1.695","0.33","10.355","none","0"
"705270392000568","2","0.891","0.368","9.78","none","0"
"705270411378801","2","1.408","0.388","10.259","none","0"
"705270431381880","2","1.79","0.292","9.838","none","0"
"705270451393574","2","1.522","0.349","10.144","none","0"
"705270471403653","2","1.408","0.388","10.374","none","0"
"705270491391578","2","1.465","0.426","9.646","none","0"
"705270511378965","2","1.465","0.311","10.393","none","0"
"705270531378890","2","1.408","0.407","10.317","none","0"
"705270552741277","2","1.427","0.388","9.972","none","0"
"705270571417509","2","1.427","0.292","9.838","none","0"
"705270591387819","2","1.427","0.292","10.068","none","0"
"705270611379052","2","1.427","0.311","10.202","none","0"
"705270631378362","2","1.274","0.368","9.953","none","0"
"705270651441441","2","1.293","0.349","9.838","none","0"
"705270672085520","2","1.274","0.33","9.953","none","0"
"705270691406445","2","1.332","0.33","10.087","none","0"
"705270711377370","2","1.293","0.292","9.972","none","0"
"705270731379141","2","1.255","0.292","9.876","none","0"
"705270751547681","2","1.217","0.292","9.972","none","0"
"705270771611529","2","1.255","0.292","10.029","none","0"
"705270792812916","2","1.332","0.292","10.01","none","0"
"705270811382610","2","1.351","0.311","9.972","none","0"
"705270831379920","2","1.37","0.349","10.106","none","0"
"705270851376691","2","1.312","0.311","10.048","none","0"
"705270872129847","2","1.37","0.292","10.106","none","0"
"705270891390772","2","1.408","0.33","10.144","none","0"
"705270911396159","2","1.389","0.311","10.163","none","0"
"705270931378469","2","1.37","0.311","10.029","none","0"
"705270951378471","2","1.37","0.33","10.087","none","0"
"705270971377473","2","1.351","0.33","10.106","none","0"
"705270991709859","2","1.351","0.311","10.029","none","0"
"705271011526861","2","1.351","0.311","10.048","none","0"
"705271031380479","2","1.351","0.33","9.991","none","0"
"705271051380096","2","1.332","0.292","10.029","none","0"
"705271071374944","2","1.312","0.33","9.991","none","0"
"705271091581561","2","1.274","0.33","10.01","none","0"
"705271112392871","2","1.293","0.311","9.972","none","0"
"705271131377181","2","1.293","0.292","10.01","none","0"
"705271151379875","2","1.332","0.311","9.972","none","0"
"705271171376954","2","1.332","0.292","9.972","none","0"
"705271191403033","2","1.37","0.311","10.029","none","0"
"705271213319035","2","1.37","0.33","10.029","none","0"
"705271231384345","2","1.37","0.33","10.048","none","0"
"705271251379193","2","1.37","0.349","10.087","none","0"
"705271271378579","2","1.389","0.292","10.029","none","0"
"705271291403735","2","1.389","0.292","10.029","none","0"
"705271311624122","2","1.37","0.33","10.144","none","0"
"705271331532662","2","1.351","0.292","10.125","none","0"
"705271351378741","2","1.332","0.273","9.991","none","0"
"705271371378820","2","1.332","0.368","10.087","none","0"
"705271391377591","2","1.312","0.349","10.125","none","0"
"705271412544055","2","1.332","0.33","9.953","none","0"
"705271432022211","2","1.312","0.33","10.029","none","0"
"705271451733982","2","1.351","0.292","10.068","none","0"
"705271471378523","2","1.274","0.33","9.991","none","0"
"705271491379371","2","1.312","0.311","9.991","none","0"
"705271511396911","2","1.312","0.311","10.048","none","0"
"705271532921990","2","1.351","0.311","10.029","none","0"
"705271551384684","2","1.37","0.33","9.972","none","0"
"705271571378302","2","1.37","0.349","10.068","none","0"
"705271591378688","2","1.37","0.349","10.068","none","0"
"705271611391998","2","1.332","0.311","10.01","none","0"
"705271631388308","2","1.389","0.273","10.01","none","0"
"705271651394310","2","1.389","0.311","10.087","none","0"
"705271671380158","2","1.351","0.311","10.029","none","0"
"705271691378852","2","1.351","0.33","10.029","none","0"
"705271711378470","2","1.351","0.33","10.029","none","0"
"705271731724702","2","1.312","0.33","10.048","none","0"
"705271751919012","2","1.351","0.292","10.029","none","0"
"705271771378706","2","1.351","0.311","10.01","none","0"
"705271791378632","2","1.351","0.349","10.01","none","0"
"705271811378787","2","1.351","0.33","10.068","none","0"
"705271831393559","2","1.351","0.311","10.01","none","0"
"705271851394330","2","1.37","0.33","10.01","none","0"
"705271871609101","2","1.351","0.292","10.068","none","0"
"705271891378103","2","1.351","0.292","9.972","none","0"
"705271911378028","2","1.37","0.311","10.029","none","0"
"705271931390646","2","1.351","0.311","10.087","none","0"
"705271951386878","2","1.332","0.33","10.01","none","0"
"705271971393496","2","1.351","0.33","9.991","none","0"
"705271991379805","2","1.332","0.33","10.048","none","0"
"705272011378654","2","1.351","0.349","10.048","none","0"
"705272031594963","2","1.37","0.311","10.029","none","0"
"705272051387888","2","1.37","0.311","10.068","none","0"
"705272071388198","2","1.37","0.349","10.029","none","0"
"705272091378508","2","1.332","0.311","10.068","none","0"
"705272111379740","2","1.312","0.292","10.029","none","0"
"705272131378512","2","1.332","0.311","10.029","none","0"
"705272152069437","2","1.37","0.311","10.048","none","0"
"705272171409823","2","1.351","0.33","10.01","none","0"
"705272191379595","2","1.37","0.292","10.01","none","0"
"705272211378597","2","1.332","0.292","10.048","none","0"
"705272231378676","2","1.332","0.33","10.068","none","0"
"705272251414370","2","1.332","0.33","10.048","none","0"
"705272271402756","2","1.293","0.311","9.991","none","0"
"705272291392220","2","1.293","0.273","10.068","none","0"
"705272311378145","2","1.312","0.311","10.068","none","0"
"705272331378455","2","1.332","0.33","10.087","none","0"
"705272351396764","2","1.351","0.311","10.01","none","0"
"705272371418151","2","1.351","0.349","10.048","none","0"
"705272391388768","2","1.37","0.311","10.01","none","0"
"705272411378155","2","1.37","0.33","10.029","none","0"
"705272431378542","2","1.408","0.349","10.048","none","0"
"705272451383928","2","1.37","0.311","10.029","none","0"
"705272471886238","2","1.389","0.292","10.048","none","0"
"705272491411548","2","1.37","0.311","10.068","none","0"
"705272511377550","2","1.351","0.311","10.029","none","0"
"705272531379706","2","1.332","0.33","10.048","none","0"
"705272551378246","2","1.332","0.33","10.029","none","0"
"705272571399479","2","1.351","0.311","10.048","none","0"
"705272591627865","2","1.312","0.311","10.048","none","0"
"705272611388021","2","1.274","0.311","10.087","none","0"
"705272631394331","2","1.37","0.311","10.01","none","0"
"705272651388794","2","1.37","0.311","10.029","none","0"
"705272673696643","2","1.332","0.311","10.048","sit down","0"
"705272691612952","2","1.351","0.311","10.01","sit down","0"
"705272712620493","2","1.351","0.33","10.029","sit down","0"
"705272731397572","2","1.332","0.311","9.991","sit down","0"
"705272751383420","2","1.351","0.292","10.087","sit down","0"
"705272771389268","2","1.332","0.33","10.087","sit down","0"
"705272791829501","2","1.351","0.311","9.991","sit down","0"
"705272811484964","2","1.351","0.33","10.029","sit down","0"
"705272831386659","2","1.312","0.33","10.068","sit down","0"
"705272851396045","2","1.37","0.311","10.01","sit down","0"
"705272871391432","2","1.312","0.311","9.991","sit down","0"
"705272892190357","2","1.312","0.292","10.087","sit down","0"
"705272911579513","2","1.312","0.292","10.029","sit down","0"
"705272931652592","2","1.332","0.292","9.991","sit down","0"
"705272951522978","2","1.351","0.311","10.048","sit down","0"
"705272971573442","2","1.351","0.311","10.068","sit down","0"
"705272993112752","2","1.37","0.311","9.972","sit down","0"
"705273011404061","2","1.312","0.311","10.068","sit down","0"
"705273031554833","2","1.332","0.292","10.125","sit down","0"
"705273051382296","2","1.351","0.292","10.029","sit down","0"
"705273071383683","2","1.332","0.273","10.106","sit down","0"
"705273092584146","2","1.312","0.292","10.163","sit down","0"
"705273111463764","2","1.389","0.349","9.991","sit down","0"
"705273131493689","2","1.37","0.349","10.01","sit down","0"
"705273151386768","2","1.351","0.349","10.068","sit down","0"
"705273171389154","2","1.37","0.33","9.972","sit down","0"
"705273191383387","2","1.541","0.273","9.838","sit down","0"
"705273212040543","2","1.427","0.292","10.163","sit down","0"
"705273232376237","2","1.427","0.445","10.087","sit down","0"
"705273251615316","2","1.025","0.292","9.646","sit down","0"
"705273271378087","2","1.159","0.33","10.297","sit down","0"
"705273291393012","2","1.389","0.426","10.125","sit down","0"
"705273311668630","2","1.255","0.254","10.202","sit down","0"
"705273331405786","2","1.351","0.234","10.01","sit down","0"
"705273351380941","2","1.236","0.273","10.029","sit down","0"
"705273371379636","2","1.274","0.177","10.24","sit down","0"
"705273391385022","2","1.427","0.349","10.297","sit down","0"
"705273412309717","2","1.771","0.215","9.78","sit down","0"
"705273431396488","2","1.427","0.158","9.57","sit down","0"
"705273451383336","2","1.159","0.426","9.838","sit down","0"
"705273471381415","2","1.159","0.464","9.933","sit down","0"
"705273491380879","2","1.255","0.254","10.163","sit down","0"
"705273511394650","2","1.178","0.273","10.087","sit down","0"
"705273531827575","2","1.427","0.234","9.665","sit down","0"
"705273552043115","2","1.465","0.349","10.259","sit down","0"
"705273571391425","2","1.599","0.119","9.78","sit down","0"
"705273591385581","2","1.56","0.119","10.01","sit down","0"
"705273611389506","2","1.56","0.349","9.914","sit down","0"
"705273631412585","2","1.102","0.254","9.953","sit down","0"
"705273653396587","2","1.063","0.311","10.508","sit down","0"
"705273671388281","2","1.274","0.56","10.336","sit down","0"
"705273691383975","2","1.217","-0.033","9.684","sit down","0"
"705273711384747","2","0.948","0.158","10.489","sit down","0"
"705273731411979","2","1.14","0.043","9.991","sit down","0"
"705273751419289","2","0.699","0.139","9.972","sit down","0"
"705273771385214","2","0.891","0.196","9.953","sit down","0"
"705273791380524","2","0.699","0.426","10.068","sit down","0"
"705273811383911","2","2.614","0.043","10.048","sit down","0"
"705273831400528","2","3.418","0.177","12.615","sit down","0"
"705273851415761","2","2.173","0.847","10.508","sit down","0"
"705273871390917","2","2.078","0.158","9.167","sit down","0"
"705273891785072","2","2.001","-0.301","7.692","sit down","0"
"705273911379151","2","2.039","0.407","7.922","sit down","0"
"705273931387615","2","-0.105","-0.129","10.738","sit down","0"
"705273952230617","2","0.278","-0.569","12.155","sit down","0"
"705273973106158","2","0.853","0.177","8.037","sit down","0"
"705273991387082","2","1.618","0.924","7.367","sit down","0"
"705274011382623","2","1.982","0.177","9.742","sit down","0"
"705274031385548","2","1.809","0.177","10.93","sit down","0"
"705274051408319","2","2.614","0.407","9.665","sit down","0"
"705274071817783","2","3.227","-0.339","10.068","sit down","0"
"705274091394631","2","4.127","-0.435","10.546","sit down","0"
"705274111383018","2","3.38","-0.473","10.776","sit down","0"
"705274131384635","2","2.001","-0.09","10.757","sit down","0"
"705274151397022","2","2.307","0.426","10.278","sit down","0"
"705274171392024","2","2.48","-0.665","10.872","sit down","0"
"705274191394179","2","2.25","-0.454","11.025","sit down","0"
"705274211384951","2","1.197","0.464","9.723","sit down","0"
"705274231381799","2","1.006","0.56","9.78","sit down","0"
"705274251386724","2","0.91","0.426","11.006","sit down","0"
"705274271428495","2","1.178","-0.244","10.106","sit down","0"
"705274291614882","2","1.599","-0.301","9.857","sit down","0"
"705274312225730","2","1.465","-0.033","10.757","sit down","0"
"705274331749424","2","2.097","-0.378","10.048","sit down","0"
"705274351386042","2","2.403","-0.282","9.493","sit down","0"
"705274371402736","2","2.058","-0.148","9.665","sit down","0"
"705274391481199","2","1.752","-0.263","10.163","sit down","0"
"705274411376894","2","2.154","-0.224","9.11","sit down","0"
"705274431381665","2","1.886","-0.32","8.401","sit down","0"
"705274451383359","2","1.867","-0.071","10.336","sit down","0"
"705274471810361","2","1.809","0.005","10.202","sit down","0"
"705274491435594","2","1.848","-0.339","8.688","sit down","0"
"705274511383981","2","1.771","-0.32","10.068","sit down","0"
"705274531383752","2","1.503","0.062","10.661","sit down","0"
"705274551381831","2","1.733","-0.186","10.144","sit down","0"
"705274571617602","2","1.675","-0.129","9.78","sit down","0"
"705274591645450","2","2.422","-0.186","11.351","sit down","0"
"705274611408375","2","2.671","-0.282","11.6","sit down","0"
"705274631378146","2","2.25","-0.167","10.182","sit down","0"
"705274651382533","2","1.905","0.005","10.336","sit down","0"
"705274671385535","2","1.924","0.234","9.819","sit down","0"
"705274692344845","2","2.173","0.043","9.876","sit down","0"
"705274711587154","2","1.695","-0.224","10.661","sit down","0"
"705274731434003","2","1.332","0.081","10.068","sit down","0"
"705274751381466","2","1.58","0.254","8.976","sit down","0"
