"Timestamp","Accuracy","Acceleration X","Acceleration Y","Acceleration Z","Label","Cycle"
"2793159816553512","0","-0.459","0.153","9.96","none","0"
"2793159836553512","0","-0.459","0.153","9.96","none","1"
"2793159862558128","0","-0.459","0.153","9.96","none","1"
"2793159882588589","0","-0.459","0.153","9.807","none","1"
"2793159902529128","0","-0.459","0.153","9.807","none","1"
"2793159922529128","0","-0.459","0.153","9.807","none","1"
"2793159942529128","0","-0.459","0.153","9.807","none","1"
"2793159965546435","0","-0.459","0.153","9.807","none","1"
"2793159983581974","0","-0.459","0.153","9.807","none","1"
"2793160002566205","0","-0.459","0.153","9.807","none","1"
"2793160022508666","0","-0.459","0.153","9.807","none","1"
"2793160042507743","0","-0.459","0.153","9.807","none","1"
"2793160062558282","0","-0.459","0.153","9.807","none","1"
"2793160082547282","0","-0.459","0.153","9.807","none","1"
"2793160102508666","0","-0.459","0.153","9.807","none","1"
"2793160122506282","0","-0.459","0.153","9.807","none","1"
"2793160142506205","0","-0.459","0.153","9.807","none","1"
"2793160162556820","0","-0.459","0.153","9.807","none","1"
"2793160182556820","0","-0.459","0.153","9.807","none","1"
"2793160215711897","0","-0.459","0.153","9.807","none","1"
"2793160227975051","0","-0.459","0.153","9.807","none","1"
"2793160242521512","0","-0.459","0.153","9.807","none","1"
"2793160262534358","0","-0.459","0.153","9.807","none","1"
"2793160282517205","0","-0.459","0.153","9.807","none","1"
"2793160302554435","0","-0.459","0.153","9.807","none","1"
"2793160322505435","0","-0.459","0.153","9.807","none","1"
"2793160342501666","0","-0.459","0.153","9.807","none","1"
"2793160362530974","0","-0.459","0.153","9.807","none","1"
"2793160382819897","0","-0.459","0.153","9.807","none","1"
"2793160402773974","0","-0.459","0.153","9.807","none","1"
"2793160422509897","0","-0.459","0.153","9.807","none","1"
"2793160442509897","0","-0.459","0.153","9.807","none","1"
"2793160475814435","0","-0.459","0.153","9.807","none","1"
"2793160483689205","0","-0.459","0.153","9.807","none","1"
"2793160502651820","0","-0.459","0.153","9.807","none","1"
"2793160522509282","0","-0.459","0.153","9.807","none","1"
"2793160542506743","0","-0.459","0.153","9.807","none","1"
"2793160562560282","0","-0.459","0.153","9.807","none","1"
"2793160583137128","0","-0.459","0.153","9.807","none","1"
"2793160604189051","0","-0.459","0.153","9.807","none","1"
"2793160622551282","0","-0.459","0.153","9.807","none","1"
"2793160642508743","0","-0.459","0.153","9.807","none","1"
"2793160662505435","0","-0.459","0.153","9.807","none","1"
"2793160682505435","0","-0.459","0.153","9.807","none","1"
"2793160702505435","0","-0.459","0.153","9.807","none","1"
"2793160725493743","0","-0.459","0.153","9.807","none","1"
"2793160744415743","0","-0.459","0.153","9.807","none","1"
"2793160762509435","0","-0.459","0.153","9.807","none","1"
"2793160782507205","0","-0.459","0.306","9.807","none","1"
"2793160802530589","0","-0.459","0.306","9.807","none","1"
"2793160822898282","0","-0.459","0.306","9.807","none","1"
"2793160842506205","0","-0.459","0.306","9.807","none","1"
"2793160862505435","0","-0.459","0.306","9.807","none","1"
"2793160882505897","0","-0.459","0.306","9.807","none","1"
"2793160902552743","0","-0.459","0.306","9.807","none","1"
"2793160922516589","0","-0.459","0.306","9.807","none","1"
"2793160942516589","0","-0.459","0.306","9.96","none","1"
"2793160975084359","0","-0.459","0.306","9.96","none","1"
"2793160984494820","0","-0.459","0.306","9.96","none","1"
"2793161002525897","0","-0.459","0.306","9.96","none","1"
"2793161022591128","0","-0.459","0.306","9.96","none","1"
"2793161042518897","0","-0.459","0.306","9.96","none","1"
"2793161062509051","0","-0.459","0.306","9.96","none","1"
"2793161082506820","0","-0.459","0.306","9.96","none","1"
"2793161102506897","0","-0.459","0.306","9.96","none","1"
"2793161122538435","0","-0.459","0.306","9.96","none","1"
"2793161142781820","0","-0.459","0.306","9.96","none","1"
"2793161162505974","0","-0.459","0.306","9.96","none","1"
"2793161182505974","0","-0.459","0.306","9.96","none","1"
"2793161202505974","0","-0.459","0.306","9.96","none","1"
"2793161224726974","0","-0.459","0.306","9.96","none","1"
"2793161242521589","0","-0.459","0.306","9.96","none","1"
"2793161262516666","0","-0.459","0.306","9.96","none","1"
"2793161282507974","0","-0.459","0.306","9.96","none","1"
"2793161302506743","0","-0.459","0.306","9.96","none","1"
"2793161322523128","0","-0.459","0.306","9.96","none","1"
"2793161342608897","0","-0.459","0.306","9.96","none","1"
"2793161362518820","0","-0.459","0.306","9.96","none","1"
"2793161382509435","0","-0.459","0.306","9.96","none","1"
"2793161402524589","0","-0.459","0.306","9.96","none","1"
"2793161422508051","0","-0.459","0.306","9.96","none","1"
"2793161442508051","0","-0.459","0.306","9.96","none","1"
"2793161474744051","0","-0.459","0.306","9.96","none","1"
"2793161482517743","0","-0.459","0.306","9.96","none","1"
"2793161502507512","0","-0.459","0.306","9.96","none","1"
"2793161522505435","0","-0.459","0.306","9.96","none","1"
"2793161542570589","0","-0.459","0.306","9.96","none","1"
"2793161562516435","0","-0.459","0.306","9.96","none","1"
"2793161582511897","0","-0.459","0.306","9.96","none","1"
"2793161602507205","0","-0.459","0.306","9.96","none","1"
"2793161622502128","0","-0.459","0.306","9.96","none","1"
"2793161642536051","0","-0.459","0.306","9.96","none","1"
"2793161662531666","0","-0.459","0.306","9.96","none","1"
"2793161682531666","0","-0.459","0.306","9.96","none","1"
"2793161702531666","0","-0.459","0.306","9.96","none","1"
"2793161724937282","0","-0.459","0.306","9.96","none","1"
"2793161742525743","0","-0.459","0.306","9.96","none","1"
"2793161762544666","0","-0.459","0.306","9.96","none","1"
"2793161782570820","0","-0.459","0.306","9.96","none","1"
"2793161802505974","0","-0.459","0.306","9.96","none","1"
"2793161822505205","0","-0.459","0.306","9.96","none","1"
"2793161842507974","0","-0.459","0.306","9.96","none","1"
"2793161862624512","0","-0.459","0.306","9.96","none","1"
"2793161882546051","0","-0.459","0.306","9.96","none","1"
"2793161902511359","0","-0.459","0.306","9.96","none","1"
