"Timestamp","Accuracy","Acceleration X","Acceleration Y","Acceleration Z","Magnitude","Label","Cycle"
"674183186454605","0","-0.919","-0.306","10.113","=SQRT(SUMSQ(C2;D2;E2))","none","0"
"674183206454605","0","-0.919","-0.306","10.113","=SQRT(SUMSQ(C3;D3;E3))","none","1"
"674183232445451","0","-0.919","-0.306","10.113","=SQRT(SUMSQ(C4;D4;E4))","none","1"
"674183252500066","0","-0.919","-0.306","9.653","=SQRT(SUMSQ(C5;D5;E5))","none","1"
"674183273462528","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C6;D6;E6))","none","1"
"674183292491220","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C7;D7;E7))","none","1"
"674183314283220","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C8;D8;E8))","none","1"
"674183332494297","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C9;D9;E9))","none","1"
"674183352483528","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C10;D10;E10))","none","1"
"674183372464451","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C11;D11;E11))","none","1"
"674183392500297","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C12;D12;E12))","none","1"
"674183414993066","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C13;D13;E13))","none","1"
"674183432466990","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C14;D14;E14))","none","1"
"674183452459067","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C15;D15;E15))","none","1"
"674183472447374","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C16;D16;E16))","none","1"
"674183492511913","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C17;D17;E17))","none","1"
"674183512538990","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C18;D18;E18))","none","1"
"674183532524682","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C19;D19;E19))","none","1"
"674183552501990","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C20;D20;E20))","none","1"
"674183572488374","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C21;D21;E21))","none","1"
"674183592486374","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C22;D22;E22))","none","1"
"674183612537451","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C23;D23;E23))","none","1"
"674183632454605","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C24;D24;E24))","none","1"
"674183652486451","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C25;D25;E25))","none","1"
"674183672446836","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C26;D26;E26))","none","1"
"674183692445990","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C27;D27;E27))","none","1"
"674183712463067","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C28;D28;E28))","none","1"
"674183732702220","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C29;D29;E29))","none","1"
"674183752452990","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C30;D30;E30))","none","1"
"674183772445528","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C31;D31;E31))","none","1"
"674183792441374","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C32;D32;E32))","none","1"
"674183812485759","0","-0.919","-0.306","9.807","=SQRT(SUMSQ(C33;D33;E33))","none","1"
