Acceleration X,Acceleration Y,Acceleration Z,Label,Cycle
-0.306,-0.153,9.5,none,1
-0.306,-0.153,9.5,none,1
-0.306,-0.153,9.5,none,1
-0.306,-0.153,10.265999999999998,none,1
-0.306,-0.153,9.807,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
-0.306,-0.153,9.96,none,1
