"Timestamp","Accuracy","Acceleration X","Acceleration Y","Acceleration Z","Magnitude","Label","Cycle"
"675449395387095","0","0.919","0.153","9.807","=SQRT(SUMSQ(C2;D2;E2))","none","0"
"675449415387095","0","0.919","0.153","9.807","=SQRT(SUMSQ(C3;D3;E3))","none","1"
"675449439780480","0","0.919","0.153","9.807","=SQRT(SUMSQ(C4;D4;E4))","none","1"
"675449459742018","0","0.919","0.153","9.807","=SQRT(SUMSQ(C5;D5;E5))","none","1"
"675449484391172","0","0.919","0.153","9.807","=SQRT(SUMSQ(C6;D6;E6))","none","1"
"675449499757018","0","0.919","0.153","9.807","=SQRT(SUMSQ(C7;D7;E7))","none","1"
"675449520261557","0","0.919","0.153","9.807","=SQRT(SUMSQ(C8;D8;E8))","none","1"
"675449539735095","0","0.919","0.153","9.807","=SQRT(SUMSQ(C9;D9;E9))","none","1"
"675449559728018","0","0.919","0.153","9.807","=SQRT(SUMSQ(C10;D10;E10))","none","1"
"675449579722172","0","0.919","0.153","9.807","=SQRT(SUMSQ(C11;D11;E11))","none","1"
"675449599720788","0","0.919","0.153","9.807","=SQRT(SUMSQ(C12;D12;E12))","none","1"
"675449619748788","0","0.919","0.153","9.807","=SQRT(SUMSQ(C13;D13;E13))","none","1"
"675449639901403","0","0.919","0.153","9.807","=SQRT(SUMSQ(C14;D14;E14))","none","1"
"675449659760095","0","0.919","0.153","10.266","=SQRT(SUMSQ(C15;D15;E15))","none","1"
"675449679720557","0","0.919","0.459","9.96","=SQRT(SUMSQ(C16;D16;E16))","none","1"
"675449699774018","0","0.919","0.459","9.96","=SQRT(SUMSQ(C17;D17;E17))","none","1"
"675449719751095","0","0.919","0.459","9.96","=SQRT(SUMSQ(C18;D18;E18))","none","1"
"675449741073941","0","0.919","0.459","9.653","=SQRT(SUMSQ(C19;D19;E19))","none","1"
"675449760077557","0","0.919","0.459","9.96","=SQRT(SUMSQ(C20;D20;E20))","none","1"
"675449779746557","0","0.919","0.459","9.807","=SQRT(SUMSQ(C21;D21;E21))","none","1"
"675449799767403","0","0.919","0.459","9.807","=SQRT(SUMSQ(C22;D22;E22))","none","1"
"675449819764634","0","0.919","0.459","9.807","=SQRT(SUMSQ(C23;D23;E23))","none","1"
"675449839777249","0","0.919","0.459","9.807","=SQRT(SUMSQ(C24;D24;E24))","none","1"
"675449859736480","0","0.919","0.459","9.807","=SQRT(SUMSQ(C25;D25;E25))","none","1"
"675449879725557","0","0.919","0.459","9.807","=SQRT(SUMSQ(C26;D26;E26))","none","1"
"675449899720172","0","0.919","0.459","9.807","=SQRT(SUMSQ(C27;D27;E27))","none","1"
"675449919819634","0","0.919","0.459","9.807","=SQRT(SUMSQ(C28;D28;E28))","none","1"
"675449939892480","0","0.919","0.306","9.807","=SQRT(SUMSQ(C29;D29;E29))","none","1"
"675449959746095","0","0.919","0.306","9.807","=SQRT(SUMSQ(C30;D30;E30))","none","1"
"675449979771480","0","0.919","0.306","9.807","=SQRT(SUMSQ(C31;D31;E31))","none","1"
"675449999723557","0","0.919","0.306","9.807","=SQRT(SUMSQ(C32;D32;E32))","none","1"
"675450019714711","0","0.919","0.306","9.807","=SQRT(SUMSQ(C33;D33;E33))","none","1"
"675450039712249","0","0.919","0.306","9.807","=SQRT(SUMSQ(C34;D34;E34))","none","1"
"675450059770634","0","0.919","0.306","9.807","=SQRT(SUMSQ(C35;D35;E35))","none","1"
"675450079744788","0","0.919","0.306","9.807","=SQRT(SUMSQ(C36;D36;E36))","none","1"
"675450099719403","0","0.919","0.306","9.807","=SQRT(SUMSQ(C37;D37;E37))","none","1"
"675450119716095","0","0.919","0.306","9.807","=SQRT(SUMSQ(C38;D38;E38))","none","1"
"675450139769557","0","0.919","0.306","9.807","=SQRT(SUMSQ(C39;D39;E39))","none","1"
"675450160337711","0","0.919","0.306","9.807","=SQRT(SUMSQ(C40;D40;E40))","none","1"
"675450179759634","0","0.919","0.306","9.807","=SQRT(SUMSQ(C41;D41;E41))","none","1"
"675450199741249","0","0.919","0.306","9.807","=SQRT(SUMSQ(C42;D42;E42))","none","1"
"675450219715557","0","0.919","0.306","9.807","=SQRT(SUMSQ(C43;D43;E43))","none","1"
"675450239720095","0","0.919","0.306","9.807","=SQRT(SUMSQ(C44;D44;E44))","none","1"
"675450259815788","0","0.919","0.306","9.807","=SQRT(SUMSQ(C45;D45;E45))","none","1"
"675450279741557","0","0.919","0.306","9.807","=SQRT(SUMSQ(C46;D46;E46))","none","1"
"675450299767326","0","0.919","0.306","9.807","=SQRT(SUMSQ(C47;D47;E47))","none","1"
"675450319716095","0","0.919","0.306","9.807","=SQRT(SUMSQ(C48;D48;E48))","none","1"
"675450339711172","0","0.919","0.306","9.807","=SQRT(SUMSQ(C49;D49;E49))","none","1"
"675450359956018","0","0.919","0.306","9.807","=SQRT(SUMSQ(C50;D50;E50))","none","1"
"675450379837788","0","0.919","0.306","9.807","=SQRT(SUMSQ(C51;D51;E51))","none","1"
"675450399805557","0","0.919","0.306","9.807","=SQRT(SUMSQ(C52;D52;E52))","none","1"
"675450419760941","0","0.919","0.306","9.807","=SQRT(SUMSQ(C53;D53;E53))","none","1"
"675450439720634","0","0.919","0.306","9.807","=SQRT(SUMSQ(C54;D54;E54))","none","1"
"675450459750941","0","0.919","0.306","9.807","=SQRT(SUMSQ(C55;D55;E55))","none","1"
"675450479774018","0","0.919","0.306","9.807","=SQRT(SUMSQ(C56;D56;E56))","none","1"
"675450499738557","0","0.919","0.306","9.807","=SQRT(SUMSQ(C57;D57;E57))","none","1"
"675450519736249","0","0.919","0.306","9.807","=SQRT(SUMSQ(C58;D58;E58))","none","1"
"675450539715711","0","0.919","0.306","9.807","=SQRT(SUMSQ(C59;D59;E59))","none","1"
"675450559712249","0","0.919","0.306","9.807","=SQRT(SUMSQ(C60;D60;E60))","none","1"
"675450579755711","0","0.919","0.306","9.807","=SQRT(SUMSQ(C61;D61;E61))","none","1"
"675450599837865","0","0.919","0.306","9.807","=SQRT(SUMSQ(C62;D62;E62))","none","1"
"675450619767788","0","0.919","0.306","9.807","=SQRT(SUMSQ(C63;D63;E63))","none","1"
"675450639714788","0","0.919","0.306","9.807","=SQRT(SUMSQ(C64;D64;E64))","none","1"
"675450659768634","0","0.919","0.306","9.807","=SQRT(SUMSQ(C65;D65;E65))","none","1"
"675450679773249","0","0.919","0.306","9.807","=SQRT(SUMSQ(C66;D66;E66))","none","1"
"675450699781403","0","0.919","0.306","9.807","=SQRT(SUMSQ(C67;D67;E67))","none","1"
"675450719883480","0","0.919","0.306","9.807","=SQRT(SUMSQ(C68;D68;E68))","none","1"
"675450739733018","0","0.919","0.306","9.807","=SQRT(SUMSQ(C69;D69;E69))","none","1"
"675450759712480","0","0.919","0.306","9.807","=SQRT(SUMSQ(C70;D70;E70))","none","1"
"675450779712018","0","0.919","0.306","9.807","=SQRT(SUMSQ(C71;D71;E71))","none","1"
"675450799774788","0","0.919","0.306","9.807","=SQRT(SUMSQ(C72;D72;E72))","none","1"
"675450819748788","0","0.919","0.306","9.807","=SQRT(SUMSQ(C73;D73;E73))","none","1"
"675450839727865","0","0.919","0.306","9.807","=SQRT(SUMSQ(C74;D74;E74))","none","1"
