Acceleration X,Acceleration Y,Acceleration Z,Label,Cycle,Mean X,Mean Y,Mean Z,Max X,Max Y,Max Z,Standard deviation X,Standard deviation Y,Standard deviation Z,Variance X,Variance Y,Variance Z,RMS X,RMS Y,RMS Z,Peak to peak X,Peak to peak Y,Peak to peak Z
0.153,-0.612,9.5,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
0.153,-0.612,9.5,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
0.153,-0.612,10.113,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
0.153,-0.612,9.96,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
0.153,-0.612,9.96,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
0.153,-0.612,9.96,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
0.153,-0.612,9.96,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
0.153,-0.612,9.96,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
0.153,-0.612,9.96,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
0.153,-0.612,9.96,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
0.153,-0.612,9.96,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
0.153,-0.306,9.96,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
0.153,-0.306,9.96,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
0.153,-0.306,9.96,none,1,0.153,-0.459765,9.954630000000002,0.153,-0.306,10.113,0.0,0.05200937077336358,0.051854581166370546,0.0,0.0027049746482412057,0.002688897587939711,0.15300000000000002,0.4626827260661462,9.95476438144069,0.0,0.306,0.6129999999999995
